id	TF_family	gen_type
AT5G18560	AP2-EREBP	TF
AT3G25890	AP2-EREBP	TF
AT1G80580	AP2-EREBP	TF
AT1G49120	AP2-EREBP	TF
AT1G25470	AP2-EREBP	TF
AT4G37750	AP2-EREBP	TF
AT4G36920	AP2-EREBP	TF
AT5G11190	AP2-EREBP	TF
AT3G20840	AP2-EREBP	TF
AT1G51190	AP2-EREBP	TF
AT3G54320	AP2-EREBP	TF
AT5G60120	AP2-EREBP	TF
AT2G28550	AP2-EREBP	TF
AT3G54990	AP2-EREBP	TF
AT2G39250	AP2-EREBP	TF
AT2G41710	AP2-EREBP	TF
AT5G17430	AP2-EREBP	TF
AT1G72570	AP2-EREBP	TF
AT5G57390	AP2-EREBP	TF
AT5G10510	AP2-EREBP	TF
AT5G65510	AP2-EREBP	TF
AT1G16060	AP2-EREBP	TF
AT1G79700	AP2-EREBP	TF
AT2G41710	AP2-EREBP	TF
AT5G65510	AP2-EREBP	TF
AT1G59750	ARF	TF
AT2G33860	ARF	TF
AT5G60450	ARF	TF
AT1G19850	ARF	TF
AT1G30330	ARF	TF
AT5G20730	ARF	TF
AT5G37020	ARF	TF
AT4G23980	ARF	TF
AT2G28350	ARF	TF
AT2G46530	ARF	TF
AT1G34310	ARF	TF
AT1G34170	ARF	TF
AT1G35540	ARF	TF
AT1G35520	ARF	TF
AT4G30080	ARF	TF
AT1G77850	ARF	TF
AT3G61830	ARF	TF
AT1G35240	ARF	TF
AT1G34390	ARF	TF
AT5G62010	ARF	TF
AT1G19220	ARF	TF
AT1G34410	ARF	TF
AT1G43950	ARF	TF
AT1G04880	ARID	TF
AT1G20910	ARID	TF
AT1G55650	ARID	TF
AT1G76110	ARID	TF
AT1G76510	ARID	TF
AT3G13350	ARID	TF
AT3G43240	ARID	TF
AT3G16857	ARR-B	TF
AT3G48100	ARR-B	TF
AT4G16110	ARR-B	TF
AT4G31920	ARR-B	TF
AT1G67710	ARR-B	TF
AT2G25180	ARR-B	TF
AT2G27070	ARR-B	TF
AT2G01760	ARR-B	TF
AT5G58080	ARR-B	TF
AT1G49190	ARR-B	TF
AT3G62670	ARR-B	TF
AT5G07210	ARR-B	TF
AT5G49240	ARR-B	TF
AT1G68210	ARR-B	TF
AT4G00760	ARR-B	TF
AT1G18790	AtRKD	TF
AT1G74480	AtRKD	TF
AT5G66990	AtRKD	TF
AT5G53040	AtRKD	TF
AT4G35590	AtRKD	TF
AT2G01930	BBR/BPC	TF
AT1G14685	BBR/BPC	TF
AT1G68120	BBR/BPC	TF
AT2G21240	BBR/BPC	TF
AT4G38910	BBR/BPC	TF
AT5G42520	BBR/BPC	TF
AT2G35550	BBR/BPC	TF
AT1G09530	bHLH	TF
AT4G36930	bHLH	TF
AT2G20180	bHLH	TF
AT3G59060	bHLH	TF
AT4G28790	bHLH	TF
AT5G67110	bHLH	TF
AT2G24260	bHLH	TF
AT4G28800	bHLH	TF
AT1G59640	bHLH	TF
AT5G58010	bHLH	TF
AT3G07340	bHLH	TF
AT4G30980	bHLH	TF
AT4G33880	bHLH	TF
AT1G10120	bHLH	TF
AT1G02340	bHLH	TF
AT4G02590	bHLH	TF
AT1G03040	bHLH	TF
AT5G62610	bHLH	TF
AT2G18300	bHLH	TF
AT1G25330	bHLH	TF
AT3G23690	bHLH	TF
AT1G68920	bHLH	TF
AT1G26260	bHLH	TF
AT4G36540	bHLH	TF
AT4G00050	bHLH	TF
AT5G48560	bHLH	TF
AT2G42300	bHLH	TF
AT4G34530	bHLH	TF
AT1G73830	bHLH	TF
AT5G09750	bHLH	TF
AT1G27740	bHLH	TF
AT5G67060	bHLH	TF
AT2G22750	bHLH	TF
AT2G28160	bHLH	TF
AT4G00120	bHLH	TF
AT1G35460	bHLH	TF
AT1G66470	bHLH	TF
AT3G50330	bHLH	TF
AT4G09180	bHLH	TF
AT2G22770	bHLH	TF
AT5G46760	bHLH	TF
AT5G37800	bHLH	TF
AT5G61270	bHLH	TF
AT2G46510	bHLH	TF
AT1G63650	bHLH	TF
AT3G21330	bHLH	TF
AT3G26744	bHLH	TF
AT3G62090	bHLH	TF
AT2G40200	bHLH	TF
AT1G69010	bHLH	TF
AT2G42280	bHLH	TF
AT2G43140	bHLH	TF
AT5G08130	bHLH	TF
AT1G68810	bHLH	TF
AT5G56960	bHLH	TF
AT4G17880	bHLH	TF
AT4G29930	bHLH	TF
AT1G25310	bHLH	TF
AT3G25710	bHLH	TF
AT2G46970	bHLH	TF
AT2G22760	bHLH	TF
AT1G51140	bHLH	TF
AT2G16910	bHLH	TF
AT1G01260	bHLH	TF
AT4G37850	bHLH	TF
AT1G12860	bHLH	TF
AT2G31220	bHLH	TF
AT5G57150	bHLH	TF
AT4G16430	bHLH	TF
AT5G65640	bHLH	TF
AT1G32640	bHLH	TF
AT4G00870	bHLH	TF
AT1G05805	bHLH	TF
AT3G19500	bHLH	TF
AT1G30670	bHLH	TF
AT3G20640	bHLH	TF
AT1G31050	bHLH	TF
AT4G05170	bHLH	TF
AT5G10570	bHLH	TF
AT4G09820	bHLH	TF
AT5G41315	bHLH	TF
AT4G00480	bHLH	TF
AT5G46830	bHLH	TF
AT4G21330	bHLH	TF
AT5G43650	bHLH	TF
AT3G61950	bHLH	TF
AT5G53210	bHLH	TF
AT1G72210	bHLH	TF
AT1G22490	bHLH	TF
AT1G10610	bHLH	TF
AT2G46810	bHLH	TF
AT1G61660	bHLH	TF
AT3G23210	bHLH	TF
AT5G65320	bHLH	TF
AT2G31210	bHLH	TF
AT3G24140	bHLH	TF
AT4G01460	bHLH	TF
AT5G46690	bHLH	TF
AT3G06120	bHLH	TF
AT2G20095	bHLH	TF
AT4G14410	bHLH	TF
AT2G41130	bHLH	TF
AT3G56770	bHLH	TF
AT1G51070	bHLH	TF
AT5G54680	bHLH	TF
AT1G06170	bHLH	TF
AT4G21340	bHLH	TF
AT2G34820	bHLH	TF
AT2G14760	bHLH	TF
AT4G29100	bHLH	TF
AT3G22100	bHLH	TF
AT1G27660	bHLH	TF
AT4G28811	bHLH	TF
AT1G68240	bHLH	TF
AT4G38071	bHLH	TF
AT3G19860	bHLH	TF
AT4G36060	bHLH	TF
AT3G47640	bHLH	TF
AT3G56980	bHLH	TF
AT3G56970	bHLH	TF
AT5G04150	bHLH	TF
AT2G41240	bHLH	TF
AT5G51780	bHLH	TF
AT5G51790	bHLH	TF
AT4G25400	bHLH	TF
AT4G25410	bHLH	TF
AT3G57800	bHLH	TF
AT1G62975	bHLH	TF
AT1G18400	bHLH	TF
AT1G12540	bHLH	TF
AT4G49770	bHLH	TF
AT2G43010	bHLH	TF
AT5G15160	bHLH	TF
AT1G74500	bHLH	TF
AT5G50915	bHLH	TF
AT5G43175	bHLH	TF
AT5G38860	bHLH	TF
AT5G64340	bHLH	TF
AT5G09460	bHLH	TF
AT1G29950	bHLH	TF
AT5G50010	bHLH	TF
AT4G30180	bHLH	TF
AT3G17100	bHLH	TF
AT3G06590	bHLH	TF
AT1G09250	bHLH	TF
AT3G05800	bHLH	TF
AT2G47270	bHLH	TF
AT1G22380	bHLH	TF
AT4G28815	bHLH	TF
AT5G39860	bHLH	TF
AT2G31215	bHLH	TF
AT1G05710	bHLH	TF
AT2G31730	bHLH	TF
AT2G31280	bHLH	TF
AT2G27230	bHLH	TF
AT1G64625	bHLH	TF
AT2G43060	bHLH	TF
AT4G30410	bHLH	TF
AT1G71200	bHLH	TF
AT3G47710	bHLH	TF
AT4G20970	bHLH	TF
AT5G15160	bHLH	TF
AT3G28857	bHLH	TF
AT1G26945	bHLH	TF
AT2G41070	bZIP	TF
AT5G44080	bZIP	TF
AT4G35900	bZIP	TF
AT5G42910	bZIP	TF
AT2G17770	bZIP	TF
AT4G34000	bZIP	TF
AT3G19290	bZIP	TF
AT2G36270	bZIP	TF
AT1G03970	bZIP	TF
AT3G56850	bZIP	TF
AT3G44460	bZIP	TF
AT2G40950	bZIP	TF
AT3G10800	bZIP	TF
AT3G56660	bZIP	TF
AT5G24800	bZIP	TF
AT4G02640	bZIP	TF
AT3G54620	bZIP	TF
AT5G28770	bZIP	TF
AT5G06950	bZIP	TF
AT1G08320	bZIP	TF
AT1G22070	bZIP	TF
AT5G06960	bZIP	TF
AT3G12250	bZIP	TF
AT1G68640	bZIP	TF
AT5G65210	bZIP	TF
AT1G77920	bZIP	TF
AT5G10030	bZIP	TF
AT2G42380	bZIP	TF
AT3G58120	bZIP	TF
AT4G35040	bZIP	TF
AT2G16770	bZIP	TF
AT3G51960	bZIP	TF
AT2G35530	bZIP	TF
AT4G36730	bZIP	TF
AT4G01120	bZIP	TF
AT2G46270	bZIP	TF
AT1G32150	bZIP	TF
AT5G11260	bZIP	TF
AT2G40620	bZIP	TF
AT4G38900	bZIP	TF
AT2G21230	bZIP	TF
AT2G13150	bZIP	TF
AT2G12980	bZIP	TF
AT2G12900	bZIP	TF
AT1G43700	bZIP	TF
AT1G06850	bZIP	TF
AT2G31370	bZIP	TF
AT1G06070	bZIP	TF
AT2G24340	bZIP	TF
AT2G13130	bZIP	TF
AT2G21235	bZIP	TF
AT5G49450	bZIP	TF
AT5G15830	bZIP	TF
AT1G59530	bZIP	TF
AT3G49760	bZIP	TF
AT2G22850	bZIP	TF
AT4G37730	bZIP	TF
AT1G68880	bZIP	TF
AT4G34590	bZIP	TF
AT3G30530	bZIP	TF
AT5G38800	bZIP	TF
AT1G75390	bZIP	TF
AT2G04038	bZIP	TF
AT3G62420	bZIP	TF
AT1G13600	bZIP	TF
AT5G60830	bZIP	TF
AT1G42990	bZIP	TF
AT1G19490	bZIP	TF
AT5G07160	bZIP	TF
AT2G18160	bZIP	TF
AT1G49720	bZIP	TF
AT3G17610	bZIP	TF
AT1G45249	bZIP	TF
AT1G75080	BZR	TF
AT1G19350	BZR	TF
AT3G50750	BZR	TF
AT4G18890	BZR	TF
AT1G78700	BZR	TF
AT4G36780	BZR	TF
AT5G15840	C2C2-CO-like	TF
AT5G15850	C2C2-CO-like	TF
AT3G02380	C2C2-CO-like	TF
AT1G25440	C2C2-CO-like	TF
AT1G28050	C2C2-CO-like	TF
AT1G49130	C2C2-CO-like	TF
AT1G60250	C2C2-CO-like	TF
AT1G68190	C2C2-CO-like	TF
AT1G68520	C2C2-CO-like	TF
AT1G73870	C2C2-CO-like	TF
AT1G75540	C2C2-CO-like	TF
AT1G78600	C2C2-CO-like	TF
AT2G21320	C2C2-CO-like	TF
AT2G24790	C2C2-CO-like	TF
AT2G33500	C2C2-CO-like	TF
AT3G07650	C2C2-CO-like	TF
AT3G21150	C2C2-CO-like	TF
AT3G21880	C2C2-CO-like	TF
AT3G21890	C2C2-CO-like	TF
AT4G15250	C2C2-CO-like	TF
AT4G27310	C2C2-CO-like	TF
AT4G38960	C2C2-CO-like	TF
AT4G39070	C2C2-CO-like	TF
AT5G24930	C2C2-CO-like	TF
AT5G48250	C2C2-CO-like	TF
AT5G54470	C2C2-CO-like	TF
AT5G57660	C2C2-CO-like	TF
AT2G25990	C2C2-CO-like	TF
AT5G48250	C2C2-CO-like	TF
AT2G47890	C2C2-CO-like	TF
AT2G31380	C2C2-CO-like	TF
AT1G07640	C2C2-Dof	TF
AT1G21340	C2C2-Dof	TF
AT1G26790	C2C2-Dof	TF
AT1G28310	C2C2-Dof	TF
AT1G47655	C2C2-Dof	TF
AT1G51700	C2C2-Dof	TF
AT1G64620	C2C2-Dof	TF
AT2G28510	C2C2-Dof	TF
AT2G28810	C2C2-Dof	TF
AT2G34140	C2C2-Dof	TF
AT2G37590	C2C2-Dof	TF
AT2G46590	C2C2-Dof	TF
AT3G21270	C2C2-Dof	TF
AT3G45610	C2C2-Dof	TF
AT3G47500	C2C2-Dof	TF
AT3G50410	C2C2-Dof	TF
AT3G52440	C2C2-Dof	TF
AT3G55370	C2C2-Dof	TF
AT3G61850	C2C2-Dof	TF
AT4G00940	C2C2-Dof	TF
AT4G21030	C2C2-Dof	TF
AT4G21040	C2C2-Dof	TF
AT4G21050	C2C2-Dof	TF
AT4G21080	C2C2-Dof	TF
AT4G24060	C2C2-Dof	TF
AT4G38000	C2C2-Dof	TF
AT5G39660	C2C2-Dof	TF
AT5G60200	C2C2-Dof	TF
AT5G60850	C2C2-Dof	TF
AT5G62430	C2C2-Dof	TF
AT5G62940	C2C2-Dof	TF
AT5G65590	C2C2-Dof	TF
AT1G29160	C2C2-Dof	TF
AT5G02460	C2C2-Dof	TF
AT1G69570	C2C2-Dof	TF
AT5G66940	C2C2-Dof	TF
AT1G08000	C2C2-Gata	TF
AT1G08010	C2C2-Gata	TF
AT2G18380	C2C2-Gata	TF
AT2G28340	C2C2-Gata	TF
AT2G45050	C2C2-Gata	TF
AT3G06740	C2C2-Gata	TF
AT3G16870	C2C2-Gata	TF
AT3G20750	C2C2-Gata	TF
AT3G21175	C2C2-Gata	TF
AT3G24050	C2C2-Gata	TF
AT3G50870	C2C2-Gata	TF
AT3G51080	C2C2-Gata	TF
AT3G60530	C2C2-Gata	TF
AT4G17570	C2C2-Gata	TF
AT4G26150	C2C2-Gata	TF
AT4G32890	C2C2-Gata	TF
AT4G34680	C2C2-Gata	TF
AT4G36240	C2C2-Gata	TF
AT4G36620	C2C2-Gata	TF
AT5G25830	C2C2-Gata	TF
AT5G26930	C2C2-Gata	TF
AT5G47140	C2C2-Gata	TF
AT5G49300	C2C2-Gata	TF
AT5G66320	C2C2-Gata	TF
AT4G24470	C2C2-Gata	TF
AT3G54810	C2C2-Gata	TF
AT3G45170	C2C2-Gata	TF
AT5G56860	C2C2-Gata	TF
AT1G51600	C2C2-Gata	TF
AT4G16141	C2C2-GATA	TF
AT1G69180	C2C2-YABBY	TF
AT2G45190	C2C2-YABBY	TF
AT1G08465	C2C2-YABBY	TF
AT4G00180	C2C2-YABBY	TF
AT1G23420	C2C2-YABBY	TF
AT2G26580	C2C2-YABBY	TF
AT1G10480	C2H2	TF
AT1G13290	C2H2	TF
AT1G14580	C2H2	TF
AT1G24625	C2H2	TF
AT1G25250	C2H2	TF
AT1G29570	C2H2	TF
AT1G29600	C2H2	TF
AT1G34370	C2H2	TF
AT1G36950	C2H2	TF
AT1G49900	C2H2	TF
AT1G55110	C2H2	TF
AT1G67030	C2H2	TF
AT1G70790	C2H2	TF
AT1G80730	C2H2	TF
AT3G02830	C2H2	TF
AT3G07940	C2H2	TF
AT3G13810	C2H2	TF
AT3G14740	C2H2	TF
AT3G18290	C2H2	TF
AT3G19140	C2H2	TF
AT3G19580	C2H2	TF
AT3G28210	C2H2	TF
AT3G45260	C2H2	TF
AT3G46070	C2H2	TF
AT3G46080	C2H2	TF
AT3G46090	C2H2	TF
AT3G50700	C2H2	TF
AT3G52800	C2H2	TF
AT3G53600	C2H2	TF
AT3G57670	C2H2	TF
AT3G58070	C2H2	TF
AT3G60580	C2H2	TF
AT4G05330	C2H2	TF
AT4G21160	C2H2	TF
AT5G04240	C2H2	TF
AT5G04390	C2H2	TF
AT5G06650	C2H2	TF
AT5G10970	C2H2	TF
AT5G12850	C2H2	TF
AT5G16540	C2H2	TF
AT5G18550	C2H2	TF
AT5G20220	C2H2	TF
AT5G07500	C2H2	TF
AT5G22480	C2H2	TF
AT5G39550	C2H2	TF
AT5G40310	C2H2	TF
AT5G40710	C2H2	TF
AT5G59820	C2H2	TF
AT5G66350	C2H2	TF
AT5G66730	C2H2	TF
AT2G32930	C2H2	TF
AT5G57520	C2H2	TF
AT5G25160	C2H2	TF
AT1G66140	C2H2	TF
AT2G41940	C2H2	TF
AT2G42410	C2H2	TF
AT2G37740	C2H2	TF
AT1G27730	C2H2	TF
AT5G04340	C2H2	TF
AT5G43170	C2H2	TF
AT1G68360	C2H2	TF
AT5G01860	C2H2	TF
AT5G27880	C2H2	TF
AT5G48890	C2H2	TF
AT5G03510	C2H2	TF
AT5G33210	C2H2	TF
AT3G51060	C2H2	TF
AT5G12330	C2H2	TF
AT1G75520	C2H2	TF
AT1G19790	C2H2	TF
AT4G36260	C2H2	TF
AT1G43850	C2H2	TF
AT3G54430	C2H2	TF
AT4G02670	C2H2	TF
AT2G02080	C2H2	TF
AT2G02070	C2H2	TF
AT5G44160	C2H2	TF
AT1G03840	C2H2	TF
AT5G60470	C2H2	TF
AT5G03150	C2H2	TF
AT5G14010	C2H2	TF
AT1G08900	C2H2	TF
AT3G05400	C2H2	TF
AT1G54720	C2H2	TF
AT1G08890	C2H2	TF
AT3G05155	C2H2	TF
AT3G05150	C2H2	TF
AT3G05160	C2H2	TF
AT3G27970	C2H2	TF
AT3G23130	C2H2	TF
AT2G35670	C2H2	TF
AT1G34790	C2H2	TF
AT5G01310	C2H2	TF
AT5G06070	C2H2	TF
AT1G72050	C2H2	TF
AT5G22990	C2H2	TF
AT5G42640	C2H2	TF
AT2G24500	C2H2	TF
AT3G48430	C2H2	TF
AT1G68480	C2H2	TF
AT1G13400	C2H2	TF
AT3G09290	C2H2	TF
AT1G08290	C2H2	TF
AT3G20880	C2H2	TF
AT1G51220	C2H2	TF
AT2G18120	C2H2	TF
AT2G21400	C2H2	TF
AT1G24630	C2H2	TF
AT5G05120	C2H2	TF
AT3G53820	C2H2	TF
AT5G43540	C2H2	TF
AT4G17810	C2H2	TF
AT3G23140	C2H2	TF
AT2G37430	C2H2	TF
AT2G28710	C2H2	TF
AT2G28200	C2H2	TF
AT3G10470	C2H2	TF
AT3G49930	C2H2	TF
AT5G67450	C2H2	TF
AT1G02040	C2H2	TF
AT1G02030	C2H2	TF
AT2G45120	C2H2	TF
AT5G61470	C2H2	TF
AT2G17180	C2H2	TF
AT4G35280	C2H2	TF
AT1G26590	C2H2	TF
AT1G26610	C2H2	TF
AT1G56200	C2H2	TF
AT5G22890	C2H2	TF
AT1G68130	C2H2	TF
AT2G01940	C2H2	TF
AT2G23740	C2H2	TF
AT5G14140	C2H2	TF
AT3G62240	C2H2	TF
AT2G47090	C2H2	TF
AT1G30970	C2H2	TF
AT4G06634	C2H2	TF
AT2G15740	C2H2	TF
AT2G18490	C2H2	TF
AT2G36475	C2H2	TF
AT4G04885	C2H2	TF
AT1G66500	C2H2	TF
AT5G43620	C2H2	TF
AT5G64610	C2H2	TF
AT5G09740	C2H2	TF
AT2G01650	C2H2	TF
AT4G25610	C2H2	TF
AT2G26940	C2H2	TF
AT4G04404	C2H2	TF
AT3G01030	C2H2	TF
AT5G15480	C2H2	TF
AT3G29340	C2H2	TF
AT1G11490	C2H2	TF
AT1G47860	C2H2	TF
AT1G75710	C2H2	TF
AT2G29660	C2H2	TF
AT4G27240	C2H2	TF
AT5G54630	C2H2	TF
AT1G65110	C2H2	TF
AT1G65120	C2H2	TF
AT1G65130	C2H2	TF
AT1G65200	C2H2	TF
AT2G27630	C2H2	TF
AT2G27650	C2H2	TF
AT2G34220	C2H2	TF
AT2G34230	C2H2	TF
AT2G34240	C2H2	TF
AT3G47890	C2H2	TF
AT3G47910	C2H2	TF
AT5G02660	C2H2	TF
AT5G51530	C2H2	TF
AT5G61940	C2H2	TF
AT5G61950	C2H2	TF
AT1G52430	C2H2	TF
AT1G52450	C2H2	TF
AT4G26030	C2H2	TF
AT4G12240	C2H2	TF
AT5G52010	C2H2	TF
AT3G44750	C2H2	TF
AT5G03740	C2H2	TF
AT3G02790	C2H2	TF
AT5G16470	C2H2	TF
AT3G57480	C2H2	TF
AT2G41835	C2H2	TF
AT1G04445	C2H2	TF
AT3G01460	C2H2	TF
AT2G27100	C2H2	TF
AT5G63280	C2H2	TF
AT5G01160	C2H2	TF
AT3G12270	C2H2	TF
AT4G16845	C2H2	TF
AT5G51230	C2H2	TF
AT2G48100	C2H2	TF
AT1G01350	C2H2	TF
AT3G62850	C2H2	TF
AT5G61190	C2H2	TF
AT5G26610	C2H2	TF
AT3G02860	C2H2	TF
AT1G01930	C2H2	TF
AT1G43860	C2H2	TF
AT1G50670	C2H2	TF
AT1G55460	C2H2	TF
AT3G05760	C2H2	TF
AT2G32600	C2H2	TF
AT5G06160	C2H2	TF
AT2G27760	C2H2	TF
AT1G74250	C2H2	TF
AT2G36930	C2H2	TF
AT1G04850	C2H2	TF
AT4G31420	C2H2	TF
AT2G19380	C2H2	TF
AT2G01940	C2H2	TF
AT1G04990	C3H	TF
AT2G01735	C3H	TF
AT3G25030	C3H	TF
AT1G68180	C3H	TF
AT5G55970	C3H	TF
AT3G02290	C3H	TF
AT1G15100	C3H	TF
AT1G14200	C3H	TF
AT5G15820	C3H	TF
AT1G11020	C3H	TF
AT1G63900	C3H	TF
AT1G51930	C3H	TF
AT5G60820	C3H	TF
AT5G41350	C3H	TF
AT2G15580	C3H	TF
AT5G63780	C3H	TF
AT3G18930	C3H	TF
AT3G58030	C3H	TF
AT1G50440	C3H	TF
AT2G22120	C3H	TF
AT4G26580	C3H	TF
AT2G44580	C3H	TF
AT1G74370	C3H	TF
AT3G07120	C3H	TF
AT1G74410	C3H	TF
AT3G26730	C3H	TF
AT2G37580	C3H	TF
AT1G28040	C3H	TF
AT1G74990	C3H	TF
AT5G17600	C3H	TF
AT5G08750	C3H	TF
AT4G10150	C3H	TF
AT4G10160	C3H	TF
AT3G63530	C3H	TF
AT3G14320	C3H	TF
AT5G42200	C3H	TF
AT5G54990	C3H	TF
AT5G08139	C3H	TF
AT5G59000	C3H	TF
AT4G27470	C3H	TF
AT1G62370	C3H	TF
AT3G11110	C3H	TF
AT3G16090	C3H	TF
AT1G22510	C3H	TF
AT5G38895	C3H	TF
AT5G01960	C3H	TF
AT3G60080	C3H	TF
AT3G02340	C3H	TF
AT1G04360	C3H	TF
AT3G03550	C3H	TF
AT5G07040	C3H	TF
AT1G21960	C3H	TF
AT5G20910	C3H	TF
AT2G04240	C3H	TF
AT3G47990	C3H	TF
AT3G23060	C3H	TF
AT1G65040	C3H	TF
AT3G15740	C3H	TF
AT5G19430	C3H	TF
AT5G66070	C3H	TF
AT2G37950	C3H	TF
AT5G45290	C3H	TF
AT3G43430	C3H	TF
AT5G12310	C3H	TF
AT3G58720	C3H	TF
AT1G18470	C3H	TF
AT1G70910	C3H	TF
AT4G33565	C3H	TF
AT4G18110	C3H	TF
AT4G23450	C3H	TF
AT5G67120	C3H	TF
AT2G03000	C3H	TF
AT4G38140	C3H	TF
AT4G28270	C3H	TF
AT5G10380	C3H	TF
AT5G02750	C3H	TF
AT2G38190	C3H	TF
AT5G20885	C3H	TF
AT1G53820	C3H	TF
AT3G30460	C3H	TF
AT5G47610	C3H	TF
AT1G72220	C3H	TF
AT1G77830	C3H	TF
AT1G19310	C3H	TF
AT5G05810	C3H	TF
AT4G22250	C3H	TF
AT5G05830	C3H	TF
AT1G73950	C3H	TF
AT1G72175	C3H	TF
AT3G19910	C3H	TF
AT2G23780	C3H	TF
AT2G30580	C3H	TF
AT1G26800	C3H	TF
AT1G33480	C3H	TF
AT1G49850	C3H	TF
AT4G28890	C3H	TF
AT2G27940	C3H	TF
